# X Y1 Y2
1000 0.20 0.19
2000 0.36 0.37
3000 0.55 0.57
4000 0.77 0.80
5000 0.99 1.02
6000 1.14 1.17
7000 1.38 1.43
8000 1.62 1.67
9000 1.92 1.98
10000 2.07 2.13
11000 2.22 2.28
12000 2.36 2.44
13000 2.74 2.82
14000 2.92 3.01
15000 3.28 3.37
16000 3.50 3.60
17000 3.92 4.01
18000 4.06 4.17
19000 4.22 4.35
20000 4.38 4.53
21000 4.57 4.70
22000 4.73 4.87
23000 4.91 5.05
24000 5.07 5.23
25000 5.26 5.42
26000 5.95 6.12
27000 6.12 6.32
28000 6.34 6.51
29000 6.52 6.70
30000 7.00 7.20
31000 7.21 7.41
32000 7.61 7.82
33000 8.11 8.34
34000 8.58 8.80
35000 8.90 9.06
36000 9.05 9.39
37000 9.20 9.44
38000 9.41 9.66
39000 9.61 9.86
40000 9.83 10.08
41000 10.03 10.29
42000 10.26 10.58
43000 10.46 10.78
44000 10.87 10.96
45000 10.91 11.21
46000 11.10 11.39
47000 11.27 11.58
48000 11.45 11.79
49000 11.67 11.98
50000 11.88 12.20
51000 13.57 13.86
52000 13.91 14.18
53000 14.15 14.73
54000 14.80 15.07
55000 14.72 15.04
56000 15.10 15.44
57000 15.33 15.68
58000 15.57 15.94
59000 16.53 16.92
60000 16.87 17.27
61000 17.54 17.55
62000 17.37 17.75
63000 17.90 18.24
64000 18.06 18.47
65000 18.21 18.69
66000 18.73 19.40
67000 18.97 19.30
